Ticker,date,Open,High,Low,Close,Adj Close,Volume,is_gap,log_return,Volatility,Volatility_Norm,AdaptiveWindow,AdaptivePatch,dynamic_patch_len
LIN,1993-02-04,8.5625,8.625,8.4375,8.5625,5.08408784866333,1058600,False,0.0073258904416881885,0.008499471309237075,0.0782266589054696,46,48,16
LIN,1993-02-05,8.625,8.8125,8.5625,8.5625,5.08408784866333,1071200,False,0.0,0.006230964893878298,0.05477345838469751,47,48,16
LIN,1993-02-08,8.6875,8.875,8.6875,8.875,5.269637107849121,2291800,True,0.035845867575608134,0.014848917551178096,0.14387110006723458,44,48,16
LIN,1993-02-09,8.75,8.8125,8.625,8.75,5.195418357849121,1717000,False,-0.014184348016830904,0.01851848153850101,0.18180928681240055,42,40,13
LIN,1993-02-10,8.75,9.0,8.75,8.9375,5.306748867034912,1820200,False,0.021202229472496892,0.01927125562978095,0.18959192370075081,42,40,13
LIN,1993-02-11,8.9375,9.0,8.8125,8.8125,5.232526302337647,596200,False,-0.014085179597090946,0.022183369660974138,0.21969913161981064,41,40,13
LIN,1993-02-12,8.875,8.9375,8.875,8.875,5.269637107849121,425200,False,0.007067298141425021,0.021948862318851025,0.21727465193521744,41,40,13
LIN,1993-02-16,8.875,8.9375,8.5625,8.5625,5.08408784866333,1180600,True,-0.03584586757560813,0.021948862318851042,0.21727465193521764,41,40,13
LIN,1993-02-17,8.625,8.625,8.375,8.4375,5.009867191314697,1200400,False,-0.014706226590235922,0.021991761256696215,0.21771816727403226,41,40,13
LIN,1993-02-18,8.75,8.75,8.25,8.25,4.898536682128906,2241800,False,-0.022472881810131816,0.015598052136093958,0.15161610952284962,43,40,13
LIN,1993-02-19,8.375,8.5625,8.3125,8.4375,5.009867191314697,732000,False,0.022472881810131795,0.02336140707683522,0.2318783996827544,40,40,13
LIN,1993-02-22,8.5625,8.5625,8.375,8.375,4.972756385803223,697200,True,-0.007435114864268446,0.021760272328834585,0.21532489379386063,41,40,13
LIN,1993-02-23,8.375,8.5,8.375,8.375,4.972756385803223,556400,False,0.0,0.017201504781497633,0.1681935792463669,43,40,13
LIN,1993-02-24,8.375,8.5,8.3125,8.375,4.972756385803223,1198800,False,0.0,0.016234882045615538,0.15820004486661307,43,40,13
LIN,1993-02-25,8.375,8.4375,8.3125,8.4375,5.009867191314697,763600,False,0.007435114864268569,0.01134224624546935,0.10761699704314513,45,48,16
LIN,1993-02-26,8.4375,8.5625,8.3125,8.5625,5.08408784866333,810000,False,0.014706226590235847,0.008419922008374258,0.07740422979890355,46,48,16
LIN,1993-03-01,8.4375,8.5625,8.3125,8.375,4.990824699401856,545200,True,-0.018514466087036174,0.012366372174874194,0.1182050344488296,45,48,16
LIN,1993-03-02,8.375,8.5,8.3125,8.5,5.065317153930664,595600,False,0.014815585979456047,0.013836692161282041,0.13340609768473335,44,48,16
LIN,1993-03-03,8.375,8.5,8.375,8.4375,5.028069972991943,727000,False,-0.007380545212216215,0.014695580338031904,0.14228580659710557,44,48,16
LIN,1993-03-04,8.4375,8.5,8.375,8.5,5.065317153930664,946400,False,0.007380545212216233,0.014690751366653413,0.1422358817508358,44,48,16
LIN,1993-03-05,8.5,8.625,8.4375,8.5,5.065317153930664,992200,False,0.0,0.012927640879639962,0.12400777205176633,45,48,16
